,Unnamed: 0,slug,view_count,event,filmed
474,1686,joe_lassiter_we_need_nuclear_power_to_solve_climate_change,1095064,TEDSummit,2016-06-28
476,1690,joel_burns_tells_gay_teens_it_gets_better,283189,Fort Worth City Council,2010-10-12
478,1693,joey_alexander_an_11_year_old_prodigy_performs_old_school_jazz,2214229,TED2015,2015-03-25
479,1695,johann_hari_everything_you_think_you_know_about_addiction_is_wrong,8495048,TEDGlobalLondon,2015-06-16
481,1707,john_hodgman_design_explained,1141596,TED2012,2012-03-01
482,1708,john_hodgman_s_brief_digression,1978379,TED2008,2008-02-02
484,1711,john_koenig_beautiful_new_words_to_describe_obscure_emotions,1448967,TEDxBerkeley,2016-02-06
486,1713,john_legend_redemption_song,1601951,TED2016,2016-02-15
487,1715,john_lloyd_inventories_the_invisible,1165355,TEDGlobal 2009,2009-07-23
488,1717,john_maeda_on_design,247048,Serious Play 2008,2008-05-05
489,1718,john_maeda_on_the_simple_life,1256887,TED2007,2007-03-03
490,1719,john_mcwhorter_4_reasons_to_learn_a_new_language,2356504,TED2016,2016-02-16
492,1723,john_walker_re_creates_great_performances,334312,EG 2007,2007-12-12
494,1729,jon_boogz_and_lil_buck_a_dance_to_honor_mother_earth,232796,TED2017,2017-04-24
495,1730,jon_bowers_we_should_aim_for_perfection_and_stop_fearing_failure,1183539,TED@UPS,2017-07-20
497,1744,jonathan_haidt_can_a_divided_america_heal,1584730,TEDNYC,2016-11-02
498,1746,jonathan_haidt_humanity_s_stairway_to_self_transcendence,1149040,TED2012,2012-02-29
499,1747,jonathan_haidt_on_the_moral_mind,2849131,TED2008,2008-03-01
501,1751,jonathan_marks_in_praise_of_conflict,1186390,TEDxPSU,2017-02-12
502,1752,jonathan_rossiter_a_robot_that_eats_pollution,1167560,TEDxWarwick,2016-03-05
503,1753,jonathan_tepperman_the_risky_politics_of_progress,954750,TEDSummit,2016-06-29
504,1756,jorge_drexler_poetry_music_and_identity,762774,TED2017,2017-04-24
505,1757,jorge_ramos_why_journalists_have_an_obligation_to_challenge_power,439546,TED2017,2017-04-24
506,1759,jose_abreu_on_kids_transformed_by_music,958146,TED2009,2009-02-05
507,1760,jose_bowen_beethoven_the_businessman,120142,TEDxSMU,2011-12-03
508,1766,joseph_ravenell_how_barbershops_can_keep_men_healthy,1037362,TED2016,2016-02-16
509,1767,joseph_redmon_how_a_computer_learns_to_recognize_objects_instantly,1466221,TED2017,2017-04-24
510,1776,joshua_prince_ramus_on_seattle_s_library,1000120,TED2006,2006-02-23
511,1777,joshua_smith_new_nanotech_to_catch_cancer_early,941592,TED@IBM,2016-11-15
512,1779,joy_buolamwini_how_i_m_fighting_bias_in_algorithms,926925,TEDxBeaconStreet,2016-11-19
513,1784,juan_enriquez_how_to_think_about_digital_tattoos,1596677,TED2013,2013-02-26
514,1785,juan_enriquez_on_genomics_and_our_future,707593,TED2003,2003-02-02
515,1786,juan_enriquez_shares_mindboggling_new_science,2981454,TED2009,2009-02-04
516,1787,juan_enriquez_wants_to_grow_energy,960159,TEDSalon 2007 Hot Science,2007-09-09
517,1789,juan_enriquez_what_will_humans_look_like_in_100_years,2689742,TEDSummit,2016-06-26
518,1791,jude_kelly_why_women_should_tell_the_stories_of_humanity,1133167,TEDWomen 2016,2016-10-26
519,1794,julia_bacha,754576,TEDGlobal 2011,2011-07-13
520,1795,julia_bacha_how_women_wage_conflict_without_violence,825115,TEDSummit,2016-06-29
521,1796,julia_galef_why_you_think_you_re_right_even_if_you_re_wrong,3310591,TEDxPSU,2016-02-28
524,1809,julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting,2878327,TED Talks Live,2015-11-01
525,1811,julio_gil_future_tech_will_give_you_the_benefits_of_city_life_anywhere,1117780,TED@UPS,2017-07-20
526,1812,jun_wang_how_digital_dna_could_help_you_make_better_health_choices,1062123,TED2017,2017-04-24
527,496,juno_mac_the_laws_that_sex_workers_really_want,1870461,TEDxEastEnd,2016-01-30
528,1813,just_how_small_is_an_atom,443945,TED-Ed,2012-04-25
529,1814,justin_baldoni_why_i_m_done_trying_to_be_man_enough,1740041,TEDWomen 2017,2017-11-01
530,1815,justin_davidson_why_shiny_glass_towers_are_bad_for_city_life,1306411,TEDNYC,2017-03-08
531,1819,kaki_king_a_musical_escape_into_a_world_of_light_and_color,1387837,TEDWomen 2015,2015-05-27
532,1820,kaki_king_rocks_out_to_pink_noise,1070070,TED2008,2008-03-01
533,1822,kamau_gachigi_success_stories_from_kenya_s_first_makerspace,691713,TEDGlobal 2017,2017-08-27
534,1823,kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty,1238384,TEDxBeaconStreet,2015-11-14
535,1831,karim_abouelnaga_a_summer_school_kids_actually_want_to_attend,1071633,TED2017,2017-04-24
537,1833,karina_galperin_why_don_t_we_write_words_the_way_pronounce_them,492971,TEDxRiodelaPlata,2015-09-24
538,1834,karoliina_korppoo_how_a_video_game_might_help_us_build_better_cities,1196853,TED2017,2017-04-24
540,1838,kate_adams_4_larger_than_life_lessons_from_soap_operas,1448335,TED@UPS,2016-09-15
541,1840,kate_marvel_can_clouds_buy_us_more_time_to_solve_climate_change,1091395,TED2017,2017-04-24
543,1842,kate_stafford_how_human_noise_affects_ocean_habitats,1088537,TEDxCERN,2016-11-05
544,1845,katherine_kuchenbecker_the_technology_of_touch,277160,TEDYouth 2012,2012-11-17
546,1848,kathy_hull_stories_from_a_home_for_terminally_ill_children,935818,TEDWomen 2016,2016-10-26
547,1849,katie_bouman_what_does_a_black_hole_look_like,1621932,TEDxBeaconStreet,2016-11-19
548,1850,katie_hinde_what_we_don_t_know_about_mother_s_milk,1168464,TEDWomen 2016,2016-10-26
549,1851,katrina_spade_when_i_die_recompose_me,1146044,TEDxOrcasIsland,2016-03-05
550,1853,kayla_briet_why_do_i_make_art_to_build_time_capsules_for_my_heritage,693087,TED2017,2017-04-24
551,1858,keith_nolan_deaf_in_the_military,125279,TEDxIslay,2011-04-23
552,1860,keller_rinaudo_how_we_re_using_drones_to_deliver_blood_and_save_lives,776071,TEDGlobal 2017,2017-08-27
553,1861,kelli_anderson_design_to_challenge_reality,310299,TEDxPhoenix,2011-11-11
554,1862,kelli_jean_drinkwater_enough_with_the_fear_of_fat,1653892,TEDxSydney,2016-05-24
555,1868,ken_robinson_changing_education_paradigms,1902520,RSA Animate,2010-10-14
556,1870,ken_robinson_says_schools_kill_creativity,49211088,TED2006,2006-02-25
557,1871,kenichi_ebina_s_magic_moves,1740166,TED2007,2007-03-03
558,1876,keolu_fox_why_genetic_research_must_be_more_diverse,835260,TED2016,2016-02-15
559,1879,kevin_b_jones_why_curiosity_is_the_key_to_science_and_medicine,911991,TEDxSaltLakeCity,2015-09-19
560,1883,kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution,1469043,TEDSummit,2016-06-29
562,1893,kid_president_i_think_we_all_need_a_pep_talk,847291,SoulPancake,2013-01-24
563,1895,kimberle_crenshaw_the_urgency_of_intersectionality,937858,TEDWomen 2016,2016-10-27
564,1897,kio_stark_why_you_should_talk_to_strangers,2716736,TED2016,2016-02-16
565,1902,kirk_sorensen_thorium_an_alternative_nuclear_fuel,397105,TEDxYYC,2011-04-01
567,1905,klaus_stadlmann_the_world_s_smallest_3d_printer,276355,TEDxVienna,2011-10-04
569,1911,kristen_marhaver_why_i_still_have_hope_for_coral_reefs,1153604,TED2017,2017-04-24
570,1912,kristin_poinar_what_s_hidden_under_the_greenland_ice_sheet,1307733,TED2017,2017-04-24
572,1917,lalitesh_katragadda_making_maps_to_fight_disaster_build_economies,364376,TEDIndia 2009,2009-11-09
573,1918,laolu_senbanjo_the_sacred_art_of_the_ori,834562,TED2017,2017-04-24
574,1919,lara_setrakian_3_ways_to_fix_a_broken_news_industry,1033402,TEDNYC,2017-01-26
576,1922,larry_lessig_says_the_law_is_strangling_creativity,1919868,TED2007,2007-03-03
577,1923,larry_page_where_s_google_going_next,2370273,TED2014,2014-03-20
578,1929,laura_boushnak_the_deadly_legacy_of_cluster_bombs,659073,TEDSummit,2016-06-27
579,1931,laura_galante_how_to_exploit_democracy,1269464,TED2017,2017-04-24
580,1932,laura_indolfi_good_news_in_the_fight_against_pancreatic_cancer,1217845,TED2016,2016-02-15
581,1937,laura_vanderkam_how_to_gain_control_of_your_free_time,5489077,TEDWomen 2016,2016-10-27
582,1939,lauren_sallan_how_to_win_at_evolution_and_survive_a_mass_extinction,877907,TED2017,2017-04-24
585,1946,leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine,768359,TEDWomen 2017,2017-11-01
586,1953,leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman,1948281,TED@BCG Paris,2016-05-18
588,1960,leslie_dodson_don_t_misrepresent_africa,123579,TEDxBoulder 2011,2011-09-24
589,1963,lessig_nyed,392962,TEDxNYED,2010-04-10
590,1964,levon_biss_mind_blowing_magnified_portraits_of_insects,959300,TED2017,2017-04-24
591,1965,lewis_pugh_s_mind_shifting_mt_everest_swim,1042505,TEDGlobal 2010,2010-07-15
592,1966,lewis_pugh_swims_the_north_pole,700269,TEDGlobal 2009,2009-09-09
593,1970,lidia_yuknavitch_the_beauty_of_being_a_misfit,2319525,TED2016,2016-02-18
594,1971,lies_damned_lies_and_statistics_about_tedtalks,2246411,TED2010,2010-02-10
595,1977,lisa_dyson_a_forgotten_space_age_technology_could_change_how_we_grow_food,1278961,TED@BCG Paris,2016-05-18
596,1979,lisa_genova_what_you_can_do_to_prevent_alzheimer_s,2580112,TED2017,2017-04-24
598,1986,liz_diller_a_giant_bubble_for_debate,666427,TED2012,2012-03-01
599,1987,liz_diller_plays_with_architecture,611658,EG 2007,2007-12-12
600,1988,liz_hajek_what_rivers_can_tell_us_about_the_earth_s_history,1242206,TEDxPSU,2014-03-02
601,1990,lloyd_pendleton_the_housing_first_approach_to_homelessness,757570,TEDMED 2016,2016-11-30
605,2002,lucianne_walkowicz_look_up_for_a_change,179288,TEDxPhoenix,2011-11-11
606,2004,lucy_kalanithi_what_makes_life_worth_living_in_the_face_of_death,1739526,TEDMED 2016,2016-11-30
607,2009,luma_mufleh_don_t_feel_sorry_for_refugees_believe_in_them,1505958,TED2017,2017-04-24
608,2010,luvvie_ajayi_get_comfortable_with_being_uncomfortable,1361334,TEDWomen 2017,2017-11-01
609,2011,lux_narayan_what_i_learned_from_2_000_obituaries,1472408,TEDNYC,2017-01-26
611,2023,malcolm_gladwell,1094647,TEDGlobal 2011,2011-07-14
612,2024,malcolm_gladwell_on_spaghetti_sauce,7171549,TED2004,2004-02-26
613,2026,malcolm_london_high_school_training_ground,1228917,TED Talks Education,2013-05-07
614,2027,malcolm_mclaren_authentic_creativity_vs_karaoke_culture,252358,Handheld Learning,2009-10-06
616,2029,mallory_soldner_your_company_s_data_could_end_world_hunger,986348,TED@UPS,2016-09-15
617,2031,mandy_len_catron_a_better_way_to_talk_about_love,1923636,TEDxSFU,2015-11-15
618,2033,manoush_zomorodi_how_boredom_can_lead_to_your_most_brilliant_ideas,1566809,TED2017,2017-04-24
619,2035,manu_prakash_lifesaving_scientific_tools_made_of_paper,1226258,TED2017,2017-04-24
620,2037,manwar_ali_inside_the_mind_of_a_former_radical_jihadist,1877008,TEDxExeter,2016-04-15
622,2043,marc_raibert_meet_spot_the_robot_dog_that_can_run_hop_and_open_doors,2195045,TED2017,2017-04-24
624,2049,marco_tempest_maybe_the_best_robot_demo_ever,2003269,TED2014,2014-03-20
625,2050,marco_tempest_the_augmented_reality_of_techno_magic,1054676,TEDGlobal 2011,2011-07-13
627,2055,margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over,908207,TEDxBeaconStreet,2015-11-14
629,2062,margrethe_vestager_the_new_age_of_corporate_monopolies,1124870,TEDGlobal>NYC,2017-09-20
631,2066,mariano_sigman_and_dan_ariely_how_can_groups_make_good_decisions,986996,TED Studio,2017-04-24
632,2067,mariano_sigman_your_words_may_predict_your_future_mental_health,2390676,TED2016,2016-02-18
633,2069,marisa_fick_jordan_shares_the_wonder_of_zulu_wire_art,300707,TEDGlobal 2007,2007-06-06
634,2077,mark_raymond_victims_of_the_city,143621,TEDxPortofSpain,2011-11-11
636,2084,marlon_peterson_am_i_not_human_a_call_for_criminal_justice_reform,1075301,TED Residency,2016-12-13
637,2085,martin_ford_how_we_ll_earn_money_in_a_future_without_jobs,1574474,TED2017,2017-04-24
638,2091,martin_reeves_how_to_build_a_business_that_lasts_100_years,1786378,TED@BCG Paris,2016-05-18
640,2094,martina_flor_the_secret_language_of_letter_design,292823,TEDxRiodelaPlata,2016-10-22
641,2097,marwa_al_sabouni_how_syria_s_architecture_laid_the_foundation_for_brutal_war,905981,TEDSummit,2016-06-26
643,2107,matilda_ho_the_future_of_good_food_in_china,914443,TED2017,2017-04-24
645,2113,matt_weinstein_what_bernie_madoff_couldn_t_steal_from_me,151724,AORN Congress,2009-03-14
647,2116,matthew_o_reilly_am_i_dying_the_honest_answer,1977741,TED@NYC,2014-07-08
648,2117,matthew_white_gives_the_euphonium_a_new_voice,790680,TEDGlobal 2009,2009-07-23
649,2121,maurice_conti_the_incredible_inventions_of_intuitive_ai,3245773,TEDxPortland,2016-04-09
650,2125,maya_beiser_s_and_her_cello_s,936697,TED2011,2011-03-02
653,2136,megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,5158284,TEDNYC,2017-02-15
654,2138,mehdi_ordikhani_seyedlar_what_happens_in_your_brain_when_you_pay_attention,2181371,TED2017,2017-04-24
655,2139,mei_lin_neo_the_fascinating_secret_lives_of_giant_clams,987570,TED2017,2017-04-24
657,2146,melissa_garren_the_sea_we_ve_hardly_seen,175026,TEDxMonterey,2012-04-18
658,2148,melissa_walker_art_can_heal_ptsd_s_invisible_wounds,856610,TEDMED 2015,2015-11-18
659,2149,mellody_hobson_color_blind_or_color_brave,2280664,TED2014,2014-03-20
661,2627,mia_nacamulli_the_benefits_of_a_bilingual_brain,0,TED-Ed,2015-06-23
662,2157,michael_bierut_how_to_design_a_library_that_makes_kids_want_to_read,1499351,TEDNYC,2017-03-08
663,2158,michael_bodekaer_this_virtual_lab_will_revolutionize_science_class,1182442,TEDxCERN,2015-10-09
664,2159,michael_botticelli_addiction_is_a_disease_we_should_treat_it_like_one,1334520,TEDxMidAtlantic,2016-10-21
665,2161,michael_green_how_we_can_make_the_world_a_better_place_by_2030,1209320,TEDGlobal>London,2015-09-29
668,2171,michael_murphy_architecture_that_s_built_to_heal,1231084,TED2016,2016-02-17
669,2172,michael_nielsen_open_science_now,141300,TEDxWaterloo,2011-03-03
670,2174,michael_patrick_lynch_how_to_see_past_your_own_perspective_and_find_truth,1450432,TED2017,2017-04-24
673,2181,michael_sandel_what_s_the_right_thing_to_do,402723,Justice with Michael Sandel,2005-09-01
674,2183,michael_shellenberger_how_fear_of_nuclear_power_is_hurting_the_environment,1226913,TEDSummit,2016-06-28
676,2189,michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness,1329448,TEDWomen 2016,2016-10-26
677,2190,michelle_borkin_can_astronomers_help_doctors,165007,TEDxBoston 2011,2011-06-28
681,2198,miho_janvier_lessons_from_a_solar_storm_chaser,666259,TEDGlobal 2017,2017-08-27
683,2200,mike_kinney_a_pro_wrestler_s_guide_to_confidence,912478,TED@UPS,2017-07-20
686,2210,miriam_zoila_perez_how_racism_harms_pregnant_women_and_what_can_help,839099,TEDWomen 2016,2016-10-26
689,2217,miwa_matreyek_s_glorious_visions,840906,TEDGlobal 2010,2010-07-14
691,2222,molly_winter_the_taboo_secret_to_healthier_plants_and_people,1596640,TEDxBend,2016-04-23
692,2223,mona_chalabi_3_ways_to_spot_a_bad_statistic,1510166,TEDNYC,2017-02-15
693,2224,monica_araya_a_small_country_with_big_ideas_to_get_rid_of_fossil_fuels,1063101,TEDSummit,2016-06-29
694,2229,morley_sings_women_of_hope,315730,TEDxWomen 2011,2011-12-01
695,2232,moshe_szyf_how_early_life_experience_is_written_into_dna,1202545,TEDxBratislava,2016-07-03
696,2236,murray_gell_mann_on_beauty_and_truth_in_physics,1203259,TED2007,2007-03-03
697,2237,murray_gell_mann_on_the_ancestor_of_language,807168,TED2007,2007-03-03
698,2240,nabila_alibhai_why_people_of_different_faiths_are_painting_their_houses_of_worship_yellow,966608,TEDGlobal 2017,2017-08-27
699,2242,nadia_lopez_why_open_a_school_to_close_a_prison,1064906,TED Talks Live,2015-11-02
700,2244,nadine_hachach_haram_how_augmented_reality_could_change_the_future_of_surgery,833503,TEDWomen 2017,2017-11-01
701,2245,nagin_cox_what_time_is_it_on_mars,1522871,TEDxBeaconStreet,2016-11-19
702,2249,nancy_duarte_the_secret_structure_of_great_talks,1298718,TEDxEast,2011-11-11
706,2257,naomi_mcdougall_jones_what_it_s_like_to_be_a_woman_in_hollywood,964350,TEDxBeaconStreet,2016-11-19
707,2260,natalie_macmaster_and_donnell_leahy_play_the_cape_breton_fiddle,1101528,TED2003,2003-02-02
708,2263,natalie_panek_let_s_clean_up_the_space_junk_orbiting_earth,994293,TEDxToronto,2015-10-22
709,2264,natalie_warne_being_young_and_making_an_impact,596045,TEDxTeen,2011-04-02
710,2265,natasha_hurley_walker_how_radio_telescopes_show_us_unseen_galaxies,1037364,TEDxPerth,2016-10-14
711,2267,nate_garvis_change_our_culture_change_our_world,129891,TEDxTC,2010-10-13
714,2272,nathan_myhrvold_cut_your_food_in_half,1408985,TED2011,2011-03-03
715,2273,nathan_myhrvold_on_archeology_animal_photography_bbq,458404,TED2007,2007-03-03
716,2274,nathan_wolfe_hunts_for_the_next_aids,1093586,TED2009,2009-02-05
717,2275,nathan_wolfe_what_s_left_to_explore,886231,TED2012,2012-02-27
719,2277,natsai_audrey_chieza_fashion_has_a_pollution_problem_can_biology_fix_it,764813,TED@BCG Milan,2017-10-04
721,2280,negin_farsad_a_highly_scientific_taxonomy_of_haters,1261170,TED2016,2016-02-15
722,2281,neha_narula_the_future_of_money,1969632,TED@BCG Paris,2016-05-18
725,2288,nellie_mckay_sings_clonie_1,700733,TED2008,2008-02-29
726,2289,nellie_mckay_sings_feminists_and_if_i_had_you,1032383,TED2008,2008-02-02
727,2290,nellie_mckay_sings_the_dog_song,697764,TED2008,2008-02-02
728,2293,ngozi_okonjo_iweala_how_africa_can_keep_rising,811382,TEDSummit,2016-06-27
729,2295,ngozi_okonjo_iweala_on_doing_business_in_africa,1087433,TED2007,2007-03-03
732,2314,niki_okuk_when_workers_own_companies_the_economy_is_more_resilient,1031557,TEDxCrenshaw,2016-10-08
733,2315,nikki_webber_allen_don_t_suffer_from_your_depression_in_silence,1437160,TED Residency,2017-06-06
734,2318,nina_fedoroff_a_secret_weapon_against_zika_and_other_mosquito_borne_diseases,953162,TEDxMidAtlantic,2016-10-21
737,2323,niti_bhan_the_hidden_opportunities_of_the_informal_economy,849695,TEDGlobal 2017,2017-08-27
738,2325,nnedi_okorafor_sci_fi_stories_that_imagine_a_future_africa,789764,TEDGlobal 2017,2017-08-27
739,2326,noah_feldman_hamilton_vs_madison_and_the_birth_of_american_partisanship,1011067,TED2017,2017-04-24
741,2333,noriko_arai_can_a_robot_pass_a_university_entrance_exam,1215305,TED2017,2017-04-24
743,2335,norman_lear_an_entertainment_icon_on_living_a_life_of_meaning,1053818,TED2016,2016-02-16
744,2338,oded_shoseyov_how_we_re_harnessing_nature_s_hidden_superpowers,1339547,TED@BCG Paris,2016-05-18
745,2339,ok_go_how_to_find_a_wonderful_idea,1805061,TED2017,2017-04-24
746,2343,olivier_scalabre_the_next_manufacturing_revolution_is_here,1661491,TED@BCG Paris,2016-05-20
747,2344,oluf_mi_taiwo_why_africa_must_become_a_center_of_knowledge_again,920691,TEDGlobal 2017,2017-08-27
748,2345,olutimehin_adegbeye_who_belongs_in_a_city,1109095,TEDGlobal 2017,2017-08-27
749,2348,onyx_ashanti_this_is_beatjazz,796407,Full Spectrum Auditions,2011-05-24
752,2361,paolo_cardini_forget_multitasking_try_monotasking,2376888,TEDGlobal 2012,2012-06-27
756,2373,patsy_rodenburg_why_i_do_theater,179698,Michael Howard Studios,2008-10-09
757,2374,pattie_maes_demos_the_sixth_sense,9829346,TED2009,2009-02-06
760,2385,paul_hessburg_why_wildfires_have_gotten_worse_and_how_we_can_stop_them,850700,TEDxBend,2017-05-13
761,2387,paul_knoepfler_the_ethical_dilemma_of_designer_babies,1148679,TEDxVienna,2015-10-31
762,2388,paul_lewis_crowdsourcing_the_news,157207,TEDxThessaloniki,2011-04-02
765,2398,paul_rothemund_casts_a_spell_with_dna,417260,TED2007,2007-03-03
766,2399,paul_rothemund_details_dna_folding,546101,TED2008,2008-02-02
767,2403,paul_tasner_how_i_became_an_entrepreneur_at_66,1375368,TED Residency,2017-06-06
771,2411,peggy_orenstein_what_young_women_believe_about_their_own_sexual_pleasure,1921265,TEDWomen 2016,2016-10-26
773,2413,per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,849481,TEDGlobal>NYC,2017-09-20
776,2416,peter_calthorpe_7_principles_for_building_better_cities,1217994,TED2017,2017-04-24
781,2436,peter_weinstock_lifelike_simulations_that_make_real_life_surgery_safer,942364,TEDxNatick,2016-01-23
783,2441,philip_howard,620555,TED2010,2010-02-13
785,2444,philippa_neave_the_unexpected_challenges_of_a_country_s_first_election,871910,TEDNYC,2016-09-07
787,2449,pico_iyer_the_beauty_of_what_we_ll_never_know,1525518,TEDSummit,2016-06-30
788,2451,pierre_thiam_a_forgotten_ancient_grain_that_could_help_africa_prosper,951313,TED2017,2017-08-27
789,2452,pilobolus_perform_symbiosis,3109618,TED2005,2005-02-25
790,2453,pistol,586707,TED2010,2010-02-10
791,2454,pope_francis_why_the_only_future_worth_building_includes_everyone,2870003,TED2017,2017-04-25
792,2456,prosanta_chakrabarty_clues_to_prehistoric_times_found_in_blind_cavefish,1018118,TED2016,2016-02-15
793,2457,prumsodun_ok_the_magic_of_khmer_classical_dance,979023,TED2017,2017-04-24
794,2459,put_the_financial_aid_in_the_bag,190576,TED-Ed,2011-11-11
795,2460,pw_singer_on_robots_of_war,1482690,TED2009,2009-02-04
796,2461,qi_zhang_s_electrifying_organ_performance,808878,TEDxUSC,2009-03-23
797,2462,questions_no_one_knows_the_answers_to,669104,TED-Ed,2012-03-12
798,2463,quixotic_fusion_dancing_with_light,1410631,TED2012,2012-02-28
800,2467,rabbi_lord_jonathan_sacks_how_we_can_face_the_future_without_fear_together,1554994,TED2017,2017-04-24
801,2471,rachel_botsman_we_ve_stopped_trusting_institutions_and_started_trusting_strangers,1375147,TEDSummit,2016-06-29
802,2474,radhika_nagpal_what_intelligent_machines_can_learn_from_a_school_of_fish,1002797,TED2017,2017-04-24
803,2477,raghava_kk_five_lives_of_an_artist,685358,TED2010,2010-02-12
804,2479,raghava_kk_what_s_your_200_year_plan,819281,TEDxSummit,2012-04-16
805,2481,rainn_wilson_ideas_worth_dating,835694,TED Studio,2016-05-02
806,2482,raj_panjabi_no_one_should_die_because_they_live_too_far_from_a_doctor,1076689,TED2017,2017-04-24
808,2492,randy_pausch_really_achieving_your_childhood_dreams,575941,Carnegie Mellon University,2007-09-18
809,2493,raul_midon_plays_all_the_answers_and_tembererana,411371,TED2007,2007-03-03
810,2494,raul_midon_plays_everybody_and_peace_on_earth,333842,TED2007,2007-03-03
811,2497,ray_dalio_how_to_build_a_company_where_the_best_ideas_win,1873358,TED2017,2017-04-24
812,2498,ray_kurzweil_announces_singularity_university,925980,TED2009,2009-02-07
813,2500,ray_kurzweil_on_how_technology_will_transform_us,2482159,TED2005,2005-02-24
814,2504,rebecca_brachman_could_a_drug_prevent_depression_and_ptsd,1234404,TEDxNewYork,2016-09-10
815,2506,rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights,1073586,TEDSummit,2016-06-29
819,2513,reinventing_the_car,575526,TED2005,2005-02-28
820,2519,rhiannon_giddens_3_songs_that_bring_history_to_life,1116408,TED2016,2016-02-15
823,2526,richard_browning_how_i_built_a_jet_suit,1638105,TED2017,2017-04-24
825,2529,richard_feynman,540265,BBC TV,1983-07-08
826,2530,richard_j_berry_a_practical_way_to_help_the_homeless_find_work_and_safety,1044002,TEDxPennsylvaniaAvenue,2017-02-09
831,2542,rick_falkvinge_i_am_a_pirate,184215,TEDxObserver,2012-03-11
832,2543,rick_guidotti_from_stigma_to_supermodel,170545,TEDxPhoenix,2011-11-11
833,2549,rives_controls_the_internet,1849146,TEDSalon 2006,2006-11-30
834,2550,rives_on_4_a_m,3628329,TED2007,2007-03-03
835,2552,rives_remixes_ted2006,649323,TED2006,2006-02-02
836,2553,rives_tells_a_story_of_mixed_emoticons,1627235,TED2008,2008-02-02
838,2561,robb_willer_how_to_have_better_political_conversations,1312496,TEDxMarin,2016-09-17
841,2565,robert_full_on_animal_movement,719695,TED2005,2005-02-02
842,2566,robert_full_on_engineering_and_evolution,825674,TED2002,2002-02-02
843,2569,robert_gupta,1185161,TED2010,2010-02-10
844,2570,robert_gupta_and_joshua_roman_duet_on_passacaglia,785403,TED2011,2011-03-02
846,2575,robert_muggah_the_biggest_risks_facing_cities_and_some_solutions,864941,TEDGlobal>NYC,2017-09-20
848,2579,robert_sapolsky_the_biology_of_our_best_and_worst_selves,1303341,TED2017,2017-04-24
849,2580,robert_sapolsky_the_uniqueness_of_humans,582314,Stanford University,2009-09-08
853,2589,robin_hanson_what_would_happen_if_we_upload_our_brains_to_computers,1157035,TED2017,2017-04-24
854,2595,rocio_lorenzo_want_a_more_innovative_company_hire_more_women,932382,TED@BCG Milan,2017-10-04
856,2601,rodrigo_y_gabriela_an_electrifying_acoustic_guitar_performance,1256959,TED2015,2015-03-16
857,2602,roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world,2020783,TEDxOslo,2015-01-29
858,2603,roger_doiron_my_subversive_garden_plot,216885,TEDxDirigo,2011-09-10
859,2605,roger_mcnamee_six_ways_to_save_the_internet,291579,TEDxSantaCruz,2011-03-02
860,2608,rokia_traore_sings_kounandi,85108,TEDGlobal 2007,2007-06-06
861,2609,rokia_traore_sings_m_bifo,298215,TEDGlobal 2007,2007-06-06
863,115,ronald_sullivan_how_i_help_free_innocent_people_from_prison,733092,TEDxMidAtlantic,2016-10-21
867,135,rutger_bregman_poverty_isn_t_a_lack_of_character_it_s_a_lack_of_cash,1715162,TED2017,2017-04-24
868,137,ryan_gravel_how_an_old_loop_of_railroads_is_changing_the_face_of_a_city,839118,TEDNYC,2016-10-05
870,141,safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent,1419977,TED2016,2016-02-15
871,142,sajay_samuel_how_college_loans_exploit_students_for_profit,1141703,TEDxPSU,2016-02-28
872,145,sal_khan_let_s_teach_for_mastery_not_test_scores,2482614,TED Talks Live,2015-11-02
873,146,salil_dudani_how_jails_extort_the_poor,985969,TEDxStanford,2016-04-24
875,151,sam_harris_can_we_build_ai_without_losing_control_over_it,2995401,TEDSummit,2016-06-26
876,152,sam_harris_science_can_show_what_s_right,3553212,TED2010,2010-02-11
877,153,sam_kass_want_to_teach_kids_well_feed_them_well,1432119,TED Talks Live,2015-11-02
879,156,samantha_nutt_the_real_harm_of_the_global_arms_trade,1062096,TED Talks Live,2015-11-04
881,159,sandi_toksvig_a_political_party_for_women_s_equality,825673,TEDWomen 2016,2016-10-27
882,161,sandra_fisher_martins_the_right_to_understand,297801,TEDxO'Porto,2011-03-21
883,162,sandrine_thuret_you_can_grow_new_brain_cells_here_s_how,5141136,TED@BCG London,2015-06-30
884,168,sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true,1199647,TED2017,2017-04-24
885,170,sara_menker_a_global_food_crisis_may_be_only_a_decade_away,1130810,TEDGlobal 2017,2017-08-27
